id,invoice_id,supplier_id,supplier_name,category,amount,currency,po_number,date,amount_variance,duplicate_score,supplier_risk,po_match_confidence,tax_regulatory_compliance,commodity_volatility,historical_pattern,environmental_risk,events,commodity,provenance
INV-2026-00001,INV-2026-00001,SUP-001,Aster Industrial Chemicals,direct_materials,9721.62,USD,PO-2026-010001,2026-01-05,0.1577,0.1281,0.5743,0.8929,0.8763,0.6349,0.8212,0.3246,[],steel coil,synthetic_demo
INV-2026-00002,INV-2026-00002,SUP-003,Northstar Packaging,direct_materials,2786.53,USD,PO-2026-010002,2026-01-06,0.2825,0.1869,0.2844,0.8394,0.9335,0.3729,0.8851,0.2605,[],industrial chemicals,synthetic_demo
INV-2026-00003,INV-2026-00003,SUP-010,Helix Lab Supplies,mro,6713.32,USD,PO-2026-010003,2026-01-07,0.1976,0.1932,0.5004,0.8052,0.9054,0.5862,0.7849,0.6521,[],maintenance kits,synthetic_demo
INV-2026-00004,INV-2026-00004,SUP-009,Rhine-Stahl Metals,direct_materials,23555.3,USD,PO-2026-010004,2026-01-08,0.2189,0.1197,0.523,0.9376,0.926,0.5572,0.7167,0.4433,[],industrial chemicals,synthetic_demo
INV-2026-00005,INV-2026-00005,SUP-009,Rhine-Stahl Metals,mro,29101.82,USD,PO-2026-010005,2026-01-09,0.3185,0.1644,0.5101,0.8823,0.8606,0.4906,0.9008,0.4247,[],lab consumables,synthetic_demo
INV-2026-00006,INV-2026-00006,SUP-003,Northstar Packaging,direct_materials,2510.52,USD,PO-2026-010006,2026-01-10,0.0918,0.2989,0.2577,0.8756,0.8783,0.4698,0.7206,0.3315,[],steel coil,synthetic_demo
INV-2026-00007,INV-2026-00007,SUP-005,Yangtze Raw Materials,direct_materials,37464.31,USD,PO-2026-010007,2026-01-11,0.2066,0.2617,0.521,0.9247,0.9136,0.6452,0.8709,0.2662,[],steel coil,synthetic_demo
INV-2026-00008,INV-2026-00008,SUP-009,Rhine-Stahl Metals,direct_materials,24519.53,USD,PO-2026-010008,2026-01-12,0.2857,0.0651,0.4916,0.8953,0.7146,0.4139,0.8693,0.1772,"[{""type"":""compliance_flag"",""severity"":""medium"",""description"":""Tax, regulatory, or documentation evidence requires review.""}]",industrial chemicals,synthetic_demo
INV-2026-00009,INV-2026-00009,SUP-001,Aster Industrial Chemicals,direct_materials,16733.74,USD,PO-2026-010009,2026-01-13,0.2047,0.1094,0.6698,0.8913,0.8498,0.82,0.8218,0.3494,"[{""type"":""supplier_distress"",""severity"":""medium"",""description"":""Supplier financial or delivery health deteriorated.""},{""type"":""commodity_spike"",""severity"":""high"",""description"":""Relevant commodity index moved sharply above its normal band.""}]",aluminum billet,synthetic_demo
INV-2026-00010,INV-2026-00010,SUP-003,Northstar Packaging,direct_materials,3882.51,USD,PO-2026-010010,2026-01-14,0.3241,0.1487,0.3104,0.7926,0.9182,0.6539,0.7338,0.4926,[],aluminum billet,synthetic_demo
INV-2026-00011,INV-2026-00011,SUP-006,Meridian Office Services,services,2847.96,USD,PO-2026-010011,2026-01-15,0.3399,0.0775,0.1196,0.8124,0.8685,0.421,0.6324,0.4493,[],facilities services,synthetic_demo
INV-2026-00012,INV-2026-00012,SUP-009,Rhine-Stahl Metals,direct_materials,50214.23,USD,PO-2026-010012,2026-01-16,0.3437,0.2627,0.519,0.8558,0.9525,0.5613,0.7941,0.5527,[],resin,synthetic_demo
INV-2026-00013,INV-2026-00013,SUP-001,Aster Industrial Chemicals,direct_materials,26879.91,USD,PO-2026-010013,2026-01-17,0.1252,0.2567,0.4487,0.783,0.9408,0.7294,0.8264,0.6552,"[{""type"":""commodity_spike"",""severity"":""medium"",""description"":""Relevant commodity index moved sharply above its normal band.""}]",industrial chemicals,synthetic_demo
INV-2026-00014,INV-2026-00014,SUP-003,Northstar Packaging,direct_materials,4645.02,USD,PO-2026-010014,2026-01-18,0.2708,0.169,0.237,0.9198,0.9162,0.6366,0.8102,0.331,[],steel coil,synthetic_demo
INV-2026-00015,INV-2026-00015,SUP-002,Pacifica Logistics,logistics,7672.41,USD,PO-2026-010015,2026-01-19,0.1031,0.1684,0.5596,0.8077,0.8572,0.4126,0.7516,0.5693,[],truckload freight,synthetic_demo
